SOCIAL, cant reach longer bunch nonsens garbag sit note section cant get rid
SIDE_FEATURE, text messag work that
SECURITY, unblock account
SIDE_FEATURE, hell get sign app pleas kindli fix
SOCIAL, broken want know birthday matter date enter say cant verifi
SIDE_FEATURE, unabl open line today articl via app oneplu 3t oxygen os 5.1 android 8.0
SOCIAL, updat version didnt share button wechat articl moment top right corner anymor cant post anyth share anyth
SOCIAL, enjoy use wechat time recent encount problem use look around peopl nearbi function
SIDE_FEATURE, also dismiss notif sometim return coupl minut late
SIDE_FEATURE, need friend first creat account
SOCIAL, see last onlin time
SIDE_FEATURE, must abl receiv sent china rmb wechat friend thumb
SIDE_FEATURE, also pictur avail download time
SIDE_FEATURE, pleas fix notif issu
SOCIAL, worst app ever account link phone number hack unlink hacker without consent
SIDE_FEATURE, im use noftic
OTHERS, show onlin
SOCIAL, make call annoy echo note
SIDE_FEATURE, activ one wechat new account
SIDE_FEATURE, pleas fix wechat pay
SIDE_FEATURE, crash video call sometim type actual noth type cursor disappear
SIDE_FEATURE, peopl nearbi doesnt appear friend list
SIDE_FEATURE, account got block regist reason dont know
SIDE_FEATURE, secur verif issu
SIDE_FEATURE, cant talk other properli without thing delet chat
SOCIAL, cant even set account without live china know someon chines verifi ident
SIDE_FEATURE, cant login shame shame need access contact list
SOCIAL, hope tencent add function allow user log simultan phone android tablet ipad
SIDE_FEATURE, pixel becom hot min video chat
SIDE_FEATURE, thank new version line send messag wifi photo
SIDE_FEATURE, alway say error tri download
SIDE_FEATURE, regist
SIDE_FEATURE, nearbi peopl cant see wechat
SOCIAL, chang type verif account regist type secur realli annoy chang use other help verifi
SIDE_FEATURE, new updat get get notif
SIDE_FEATURE, dont know photo wechat folder miss suddenli disappear
SIDE_FEATURE, app look like could great wouldnt allow access second time
SIDE_FEATURE, perhap way assign word custom sticker happi cri wow etc eas use download sticker set
SECURITY, let login old account use mobil number
SIDE_FEATURE, app quit good cant send messag chat receiv msg cant repli
SIDE_FEATURE, send text short movi clip sound voic record
SIDE_FEATURE, wechat pay work wallet
SIDE_FEATURE, tri log back year still fail
SIDE_FEATURE, use work fine late alert get messag
SIDE_FEATURE, everyth perfect dont receiv notif automat app run background
SIDE_FEATURE, cant even log account
SOCIAL, last one annoy loud
SOCIAL, though got lot issu sinc switch oneplu fingerprint payment crash servic like movi ticket train ticket also never load
SOCIAL, last updat stop abl mute app even forc stop app somehow continu send notif
SOCIAL, dont know anyon also wechat phone cant even sign
SIDE_FEATURE, account got block need someon verifi activ
SIDE_FEATURE, notif wont show im open app
SIDE_FEATURE, instal app could commun husband china howev day deni access hard fulfil requir need afterward sinc user environ
SIDE_FEATURE, last updat chat list there disturb thing top
SIDE_FEATURE, also cant upload photo choos countri code step previou tune miss choos anoth
SIDE_FEATURE, get might secur featur bot your tri connect peopl abl creat account suck
SIDE_FEATURE, alway block peopl nearbi noth
SOCIAL, sign aw havent app year want reconnect ppl ask scan qr code old phone gone year get chat buddi send code via chat dont know anyon knew even still app
SIDE_FEATURE, must friend contact
SIDE_FEATURE, support poll ladder shuffl tablet pc
SIDE_FEATURE, reinstal smartphon u want login email
SIDE_FEATURE, friend use peopl nearbi search wechat doesnt appear list mine appear
SIDE_FEATURE, abl get call
SIDE_FEATURE, troubl chang id decid log log back said got ban
SIDE_FEATURE, invit group cant see chat histori
SIDE_FEATURE, photo profil app low qualiti
SECURITY, unabl log
SIDE_FEATURE, cant send verif code activ account that
SIDE_FEATURE, silli idea port next phone via wifi usual old phone alreadi traded-in
SIDE_FEATURE, block account easili least unblock asap
SIDE_FEATURE, receiv send messag somehow media file never go
SIDE_FEATURE, cant login old account reset phone
SOCIAL, fail recogn phone number order sign im gonna creat facebook account
SECURITY, tri get famili help activ account told couldnt
SIDE_FEATURE, search keyword instead readi hashtag
SIDE_FEATURE, cant watch video
SIDE_FEATURE, account start pleas help fast
SIDE_FEATURE, also bad call qualiti compress even wifi
SIDE_FEATURE, abl add friend huh
SIDE_FEATURE, decid dont care want delet account tell wait two week tri
SIDE_FEATURE, also post photo video screen realli weird
SOCIAL, hard login retriev password keep us give run around let go circl person contact terribl
SIDE_FEATURE, contact wechat user cant sign
SIDE_FEATURE, fail sign everi time despit follow instruct set
SIDE_FEATURE, sinc day one cant login without weechat tell account compromis
SIDE_FEATURE, friend receiv messag send
SECURITY, also reason imag upload profil pic background upload low resolut
SIDE_FEATURE, actual prefer use line found benefit whatsapp could provid line doesnt
SIDE_FEATURE, would chang secur login would
SIDE_FEATURE, account block reason use form broken
SIDE_FEATURE, secur verif option poor
SIDE_FEATURE, cant even sign
SOCIAL, cant send someon money unless bank account debit card attach wechat
SIDE_FEATURE, understand verifi account relogin account cant verifi 12am 7am
SIDE_FEATURE, cant get place properli cant even load updat place
SIDE_FEATURE, imposs creat new account even reset password
SIDE_FEATURE, im nt abl reinstal line send verif code
SIDE_FEATURE, click pictur sent get black screen
SOCIAL, dont blame phone googl map facebook instagram whatsapp even bank app could pin locat better dot
SIDE_FEATURE, forreal though let search user pm add tri everi singl search field noth
OTHERS, sync data n stuck
SIDE_FEATURE, problem latest updat sticker dont alway show chat end send
SOCIAL, terribl experi app dont understand differ login sm new signup develop seem confus need help translat
SIDE_FEATURE, good verif use old way choos friend dp
SECURITY, unlik messag app uss phone number login u get ur account back
SIDE_FEATURE, pleas make longer post video moment
SIDE_FEATURE, dont receiv messag time lag
SIDE_FEATURE, dont get ad
SIDE_FEATURE, new updat show mesag arriv
SIDE_FEATURE, even block one recov account
SIDE_FEATURE, tri unlock number time contact support seem exist repli got complain noth
SOCIAL, say app cannot view multi window
SIDE_FEATURE, need someon unlock
SIDE_FEATURE, app work properli block certain reason even bother solv problem
SIDE_FEATURE, permiss allow access basic everi function os
SIDE_FEATURE, dont want statu post timelin
SOCIAL, move anoth countri old phone number termin abl chang countri code link number anoth countri
SIDE_FEATURE, late messag wont sent resend seem use
SIDE_FEATURE, worst secur verif ever guess gear toward chines
SIDE_FEATURE, need see suggest sticker didnt buy yet
SIDE_FEATURE, peopl nearbi featur work
SIDE_FEATURE, instal one nearbi use app suppos complet qr scan
SOCIAL, told find user grant ne access told dont live mainland china
SIDE_FEATURE, im troubl recov account
SIDE_FEATURE, account block reason unblock process crappi af
SIDE_FEATURE, add edit easi hare media faster
SIDE_FEATURE, good gener constant notif delay 8-10 min could receiv messag sender
SIDE_FEATURE, notif color chang blue
SIDE_FEATURE, also need reply-to featur otherwis hard know messag partner repli chat
SOCIAL, frequent disconnect call
SOCIAL, none friend figur nonsens contact verif process guess im done app
SIDE_FEATURE, add featur backup chat period googl drive
SOCIAL, garbag inconveni way set
SIDE_FEATURE, could add call option account recoveri account secur pleas
SIDE_FEATURE, account block cannot retriev password
SIDE_FEATURE, alway error notif view profil pictur
SIDE_FEATURE, unfortun cannot log wechat
SIDE_FEATURE, hell creat account
SIDE_FEATURE, basic handov admin access remot access third parti even dont permit access
SOCIAL, like line voic video call whatsapp cant rememb password got new phone cant get account wont send reset email matter mani time tri
SIDE_FEATURE, unabl log previou account account recoveri option imposs
SIDE_FEATURE, ad peopl confus
SIDE_FEATURE, last updat think there glitch bottom friend list dont open
SOCIAL, kindli add mark option convers
SIDE_FEATURE, like app social media news sourc one awesom
SIDE_FEATURE, pleas add line lite fitur that make line one group chat
SIDE_FEATURE, regist account take mani day seen peopl nearbi week
SOCIAL, tri instal day nonsens secur verif pop
SOCIAL, peopl cannot seen nearbi
SOCIAL, cant sign unless know someon use app month
SIDE_FEATURE, alway get late show text he show text open text updat
SIDE_FEATURE, love app sticker select spam friend pleas implement sort better sticker sort featur
SOCIAL, wake lock count show extrem high keep activ step counter sensor even bodi sensor disabl werun
SIDE_FEATURE, problem app
SIDE_FEATURE, cant watch video app
SOCIAL, annoy phone keep vibrat unimport group chat meanwhil need vibrat import person chat
SIDE_FEATURE, sometim worst voic call wont show
SIDE_FEATURE, nice experi video audio call compar whatsaap
SECURITY, secur simpli stupid useless
SIDE_FEATURE, uninstal app saw forc user give permiss
SIDE_FEATURE, im use xiaomi redmi note resolut x chat wallpap doesnt stretch whole chatroom
SOCIAL, end end encrypt unlik whatsapp whatsapp use half resourc wechat
SIDE_FEATURE, say number recognis go sign section
SIDE_FEATURE, abl sign secur verif noth show complet white screen appear
SIDE_FEATURE, ask entri user mobil number dont
SIDE_FEATURE, verif friend help anoth wechat account doesnt work
SIDE_FEATURE, regist thai sim card cant call send messag got home
